epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1491.8,1.3058,0.9914,1.30935,0.75061,0.75091,0.79813,0.48189,1.50809,0.92836,1.40164,0.0083764,0.0083764,0.0083764
43,1527.41,1.30516,0.98704,1.31106,0.66254,0.73151,0.7408,0.39795,1.64036,1.15196,1.50091,0.0083368,0.0083368,0.0083368
44,1564.58,1.28031,0.95186,1.29259,0.73993,0.76775,0.78795,0.43923,1.60853,0.95638,1.48939,0.0082972,0.0082972,0.0082972
45,1599.86,1.28134,0.97917,1.30035,0.73248,0.76339,0.78782,0.43167,1.64794,0.93814,1.49208,0.0082576,0.0082576,0.0082576
46,1635.34,1.28373,0.94561,1.29169,0.72517,0.74159,0.76561,0.42841,1.63764,1.05546,1.50146,0.008218,0.008218,0.008218
47,1671.52,1.28576,0.96052,1.29336,0.69295,0.75897,0.779,0.45188,1.55703,0.98657,1.45137,0.0081784,0.0081784,0.0081784
48,1707.06,1.27839,0.95546,1.29502,0.79194,0.62852,0.72901,0.41976,1.58577,1.13287,1.48626,0.0081388,0.0081388,0.0081388
49,1742.57,1.27407,0.94549,1.28373,0.69603,0.74525,0.75727,0.4486,1.51247,1.05517,1.41654,0.0080992,0.0080992,0.0080992
50,1777.55,1.26208,0.94004,1.28336,0.7124,0.68254,0.73386,0.45639,1.47295,1.20878,1.39865,0.0080596,0.0080596,0.0080596
51,1812.72,1.25372,0.93776,1.28077,0.70882,0.74443,0.7752,0.46867,1.48177,0.95591,1.41168,0.00802,0.00802,0.00802
52,1847.83,1.23897,0.92756,1.26993,0.74356,0.73411,0.77752,0.46208,1.52895,0.96525,1.43413,0.0079804,0.0079804,0.0079804
53,1883.57,1.23559,0.91239,1.26802,0.71821,0.69842,0.75179,0.45471,1.45437,1.15196,1.39211,0.0079408,0.0079408,0.0079408
54,1919.17,1.2317,0.91732,1.26335,0.69729,0.6667,0.71631,0.43189,1.51478,1.23561,1.42959,0.0079012,0.0079012,0.0079012
55,1954.99,1.24222,0.92129,1.27492,0.75451,0.65581,0.73664,0.4415,1.53599,1.16136,1.45684,0.0078616,0.0078616,0.0078616
56,1990.33,1.22243,0.89954,1.25919,0.80003,0.64728,0.75301,0.43967,1.56542,1.06848,1.4767,0.007822,0.007822,0.007822
57,2026.65,1.23343,0.90701,1.2625,0.75501,0.77574,0.79611,0.48092,1.48334,0.9372,1.43927,0.0077824,0.0077824,0.0077824
58,2062.06,1.23316,0.91051,1.26415,0.75659,0.7059,0.77012,0.46539,1.49587,0.99296,1.4542,0.0077428,0.0077428,0.0077428
59,2098.23,1.21787,0.89334,1.25094,0.7279,0.66967,0.74016,0.4534,1.47478,1.08866,1.4356,0.0077032,0.0077032,0.0077032
60,2134.6,1.22615,0.8985,1.25952,0.74164,0.74903,0.78674,0.49383,1.41575,1.03307,1.37871,0.0076636,0.0076636,0.0076636
61,2171.06,1.21471,0.89445,1.2524,0.73996,0.75494,0.78676,0.46388,1.44404,0.97542,1.398,0.007624,0.007624,0.007624
62,2207.44,1.20537,0.87321,1.24643,0.72854,0.76304,0.77968,0.48046,1.43591,0.97116,1.38983,0.0075844,0.0075844,0.0075844
63,2243.01,1.19708,0.87364,1.24946,0.74232,0.75548,0.79095,0.4665,1.51609,0.98374,1.46609,0.0075448,0.0075448,0.0075448
64,2278.66,1.19173,0.87669,1.23993,0.76612,0.67421,0.74982,0.46865,1.44478,1.13461,1.40312,0.0075052,0.0075052,0.0075052
65,2314.34,1.19359,0.87623,1.24184,0.74344,0.71966,0.76923,0.48213,1.39306,1.07319,1.34923,0.0074656,0.0074656,0.0074656
66,2350.54,1.18152,0.86782,1.23521,0.74004,0.74963,0.79062,0.46651,1.467,0.9297,1.42656,0.007426,0.007426,0.007426
67,2386.21,1.17378,0.85784,1.23073,0.76541,0.73726,0.79162,0.50127,1.41465,1.01053,1.39232,0.0073864,0.0073864,0.0073864
68,2422.24,1.18756,0.85911,1.23496,0.75155,0.70255,0.76192,0.47455,1.41645,1.01957,1.42114,0.0073468,0.0073468,0.0073468
69,2458.35,1.17019,0.85681,1.23198,0.69099,0.74482,0.75717,0.46223,1.41888,1.09652,1.41592,0.0073072,0.0073072,0.0073072
70,2494.38,1.17403,0.84815,1.23453,0.7627,0.73416,0.78513,0.48783,1.38609,0.96268,1.35024,0.0072676,0.0072676,0.0072676
71,2529.78,1.15136,0.83952,1.2214,0.73667,0.76519,0.78949,0.49892,1.35673,0.94433,1.36906,0.007228,0.007228,0.007228
72,2565.76,1.15789,0.83294,1.21807,0.75172,0.68816,0.75111,0.44647,1.49148,1.19781,1.44647,0.0071884,0.0071884,0.0071884
73,2601.35,1.16128,0.83544,1.22368,0.72075,0.72495,0.75059,0.46321,1.42274,1.1095,1.43141,0.0071488,0.0071488,0.0071488
74,2636.44,1.15796,0.83292,1.21311,0.71151,0.71706,0.7388,0.46104,1.4264,1.11601,1.4065,0.0071092,0.0071092,0.0071092
75,2672.44,1.14957,0.83421,1.21134,0.74398,0.74159,0.78056,0.48517,1.39958,1.00899,1.40039,0.0070696,0.0070696,0.0070696
76,2707.61,1.14901,0.83308,1.21311,0.72501,0.76068,0.76755,0.47011,1.43189,0.97294,1.41875,0.00703,0.00703,0.00703
77,2742.32,1.15688,0.82558,1.21217,0.75387,0.70287,0.75292,0.48205,1.33558,1.09879,1.34394,0.0069904,0.0069904,0.0069904
78,2777.78,1.13128,0.81098,1.20293,0.73001,0.73259,0.76429,0.48553,1.41798,1.08278,1.42463,0.0069508,0.0069508,0.0069508
79,2812.91,1.12839,0.82114,1.20647,0.71889,0.76456,0.77741,0.49348,1.41977,1.03803,1.42174,0.0069112,0.0069112,0.0069112
80,2848.51,1.13491,0.82354,1.21169,0.72347,0.72054,0.75799,0.48227,1.38781,1.08193,1.39829,0.0068716,0.0068716,0.0068716
81,2884.72,1.12936,0.81515,1.21223,0.75931,0.70899,0.77562,0.47974,1.43153,1.03474,1.43166,0.006832,0.006832,0.006832
82,2920,1.13147,0.80948,1.19909,0.7499,0.74493,0.77977,0.49438,1.37166,1.02183,1.3973,0.0067924,0.0067924,0.0067924
83,2955.7,1.13012,0.7998,1.19773,0.73212,0.72067,0.75182,0.46816,1.39529,1.15801,1.38526,0.0067528,0.0067528,0.0067528
84,2991.45,1.11574,0.80501,1.19529,0.74795,0.69926,0.73524,0.46879,1.42757,1.21517,1.44216,0.0067132,0.0067132,0.0067132
85,3027.05,1.13336,0.81776,1.20438,0.74828,0.73331,0.77426,0.49533,1.36358,1.0097,1.37791,0.0066736,0.0066736,0.0066736
86,3062.38,1.11162,0.78561,1.18694,0.73937,0.72239,0.77028,0.49768,1.35703,1.06131,1.35532,0.006634,0.006634,0.006634
87,3097.39,1.12941,0.80158,1.19667,0.70279,0.76539,0.77684,0.48361,1.39844,1.05619,1.4105,0.0065944,0.0065944,0.0065944
88,3132.56,1.11742,0.7958,1.19452,0.75862,0.74761,0.79021,0.49866,1.37314,1.00109,1.3979,0.0065548,0.0065548,0.0065548
89,3168.15,1.10267,0.78797,1.18761,0.74166,0.76298,0.78617,0.50749,1.36469,1.00174,1.3646,0.0065152,0.0065152,0.0065152
90,3204.07,1.10115,0.79227,1.18199,0.74371,0.70179,0.75872,0.48448,1.41962,1.15541,1.40378,0.0064756,0.0064756,0.0064756
91,3239.45,1.09796,0.77677,1.18294,0.7292,0.76096,0.78672,0.51178,1.3032,1.00583,1.34936,0.006436,0.006436,0.006436
92,3274.89,1.08724,0.7794,1.17907,0.777,0.7181,0.7919,0.50426,1.3589,1.03198,1.35469,0.0063964,0.0063964,0.0063964
93,3310.28,1.10561,0.79577,1.19669,0.77539,0.72426,0.78365,0.49181,1.41357,1.11557,1.41718,0.0063568,0.0063568,0.0063568
94,3344.58,1.08686,0.7691,1.17764,0.76342,0.73891,0.75417,0.48151,1.38847,1.12303,1.40677,0.0063172,0.0063172,0.0063172
95,3380.19,1.09728,0.78419,1.18319,0.72441,0.75501,0.77363,0.49369,1.39878,1.06538,1.40448,0.0062776,0.0062776,0.0062776
96,3415.93,1.08036,0.77838,1.17919,0.74834,0.72282,0.76536,0.49057,1.38877,1.12315,1.40501,0.006238,0.006238,0.006238
97,3451.3,1.08438,0.76721,1.17841,0.7979,0.65994,0.74895,0.47974,1.39489,1.21018,1.41868,0.0061984,0.0061984,0.0061984
98,3486.45,1.0817,0.77571,1.17815,0.73109,0.78103,0.80636,0.52204,1.3412,0.97448,1.36276,0.0061588,0.0061588,0.0061588
99,3522.39,1.06149,0.75806,1.15872,0.72766,0.76677,0.77909,0.49302,1.34696,1.06121,1.36632,0.0061192,0.0061192,0.0061192
100,3557.74,1.06443,0.76123,1.16753,0.758,0.72186,0.78716,0.51871,1.31107,1.0386,1.34727,0.0060796,0.0060796,0.0060796
101,3592.83,1.054,0.75257,1.16047,0.81456,0.66025,0.7479,0.47998,1.40009,1.20694,1.42067,0.00604,0.00604,0.00604
102,3628.54,1.06746,0.76258,1.16757,0.70186,0.77652,0.78377,0.5203,1.32403,1.01019,1.36228,0.0060004,0.0060004,0.0060004
103,3663.57,1.06748,0.75405,1.16924,0.77036,0.72319,0.78412,0.51599,1.30768,1.05703,1.35295,0.0059608,0.0059608,0.0059608
104,3698.57,1.05211,0.73925,1.15966,0.72127,0.78646,0.79724,0.51223,1.33174,0.96548,1.37504,0.0059212,0.0059212,0.0059212
105,3733.79,1.05475,0.75876,1.15858,0.73451,0.72584,0.75363,0.48645,1.37783,1.14878,1.41847,0.0058816,0.0058816,0.0058816
106,3770.02,1.05002,0.74577,1.15728,0.75542,0.71422,0.77676,0.50813,1.33138,1.05632,1.38697,0.005842,0.005842,0.005842
107,3805.68,1.05022,0.73916,1.15271,0.75231,0.69315,0.75807,0.50287,1.32499,1.08684,1.38533,0.0058024,0.0058024,0.0058024
108,3841.12,1.03933,0.73297,1.14998,0.75647,0.73107,0.76598,0.50586,1.33807,1.13775,1.36871,0.0057628,0.0057628,0.0057628
109,3876.66,1.05678,0.7429,1.16087,0.74384,0.72859,0.76955,0.50648,1.31659,1.06907,1.35137,0.0057232,0.0057232,0.0057232
110,3912.49,1.02917,0.73131,1.14475,0.71852,0.76021,0.77953,0.51618,1.31548,1.05584,1.37879,0.0056836,0.0056836,0.0056836
111,3948.38,1.04317,0.73512,1.15228,0.75074,0.7011,0.7554,0.49777,1.32543,1.1295,1.37545,0.005644,0.005644,0.005644
112,3984.92,1.02507,0.72549,1.14145,0.7121,0.74436,0.77901,0.50651,1.35044,1.04789,1.39357,0.0056044,0.0056044,0.0056044
113,4020.78,1.02901,0.73566,1.14691,0.75113,0.71571,0.76897,0.52205,1.27895,1.09936,1.34246,0.0055648,0.0055648,0.0055648
114,4058.52,1.0354,0.72956,1.14905,0.73243,0.7395,0.75727,0.50314,1.33493,1.13058,1.37439,0.0055252,0.0055252,0.0055252
115,4095.19,1.01975,0.72043,1.14006,0.70691,0.73969,0.74313,0.48296,1.3804,1.18006,1.43899,0.0054856,0.0054856,0.0054856
116,4131.33,1.01474,0.71404,1.1417,0.77189,0.73661,0.77196,0.50862,1.31278,1.08545,1.36603,0.005446,0.005446,0.005446
117,4169.5,1.03793,0.73633,1.15236,0.72351,0.74601,0.78018,0.51177,1.30189,1.08358,1.33648,0.0054064,0.0054064,0.0054064
118,4205.42,1.01791,0.72874,1.1385,0.7411,0.73849,0.7754,0.50655,1.30689,1.07351,1.38317,0.0053668,0.0053668,0.0053668
119,4241.54,1.01052,0.70654,1.13981,0.73527,0.76664,0.78442,0.51419,1.33251,1.03837,1.38534,0.0053272,0.0053272,0.0053272
120,4278.42,1.0175,0.71232,1.13756,0.706,0.7721,0.77709,0.52329,1.27628,1.11549,1.34533,0.0052876,0.0052876,0.0052876
121,4313.87,1.02058,0.71657,1.14128,0.74921,0.71162,0.768,0.51199,1.29489,1.06952,1.35868,0.005248,0.005248,0.005248
122,4349.66,0.99966,0.71086,1.13151,0.74295,0.68563,0.74892,0.4949,1.30873,1.14276,1.37917,0.0052084,0.0052084,0.0052084
123,4385.51,1.01395,0.71276,1.14232,0.716,0.74725,0.76433,0.5041,1.32875,1.12654,1.39657,0.0051688,0.0051688,0.0051688
124,4421.47,1.00483,0.7075,1.13439,0.71933,0.75899,0.78592,0.526,1.30293,1.04797,1.37224,0.0051292,0.0051292,0.0051292
125,4456.73,1.00025,0.70587,1.13172,0.75947,0.6982,0.77329,0.51442,1.31963,1.05724,1.40314,0.0050896,0.0050896,0.0050896
126,4492.51,1.00209,0.70224,1.13038,0.75332,0.72941,0.78282,0.51945,1.30228,1.10483,1.35981,0.00505,0.00505,0.00505
127,4528.61,1.01114,0.70506,1.13576,0.73429,0.72941,0.76444,0.5078,1.33216,1.12565,1.38735,0.0050104,0.0050104,0.0050104
128,4564.32,0.99934,0.70664,1.13518,0.75424,0.71397,0.77165,0.51035,1.33467,1.1422,1.40812,0.0049708,0.0049708,0.0049708
129,4600.34,0.98766,0.69353,1.1238,0.75321,0.71896,0.766,0.50879,1.36536,1.1519,1.42134,0.0049312,0.0049312,0.0049312
130,4635.85,0.98611,0.70618,1.12115,0.75866,0.70389,0.76744,0.50674,1.34933,1.11149,1.42514,0.0048916,0.0048916,0.0048916
131,4671.48,0.98431,0.69692,1.12888,0.7351,0.75564,0.78161,0.52073,1.30611,1.08571,1.38733,0.004852,0.004852,0.004852
132,4707.11,0.98042,0.68189,1.11937,0.74888,0.7477,0.78039,0.52789,1.30007,1.05118,1.38414,0.0048124,0.0048124,0.0048124
133,4742.59,0.97957,0.69032,1.11913,0.7924,0.70713,0.77189,0.50866,1.34184,1.1452,1.41302,0.0047728,0.0047728,0.0047728
134,4778.45,0.96588,0.68258,1.11309,0.76492,0.75418,0.78178,0.5216,1.31939,1.09683,1.41089,0.0047332,0.0047332,0.0047332
135,4814.29,0.9832,0.69347,1.11827,0.73982,0.73274,0.78057,0.51524,1.30988,1.0839,1.39637,0.0046936,0.0046936,0.0046936
136,4850.2,0.97782,0.69131,1.12254,0.76965,0.70069,0.77839,0.51659,1.29511,1.11676,1.40484,0.004654,0.004654,0.004654
137,4885.54,0.97612,0.68143,1.12128,0.74404,0.73872,0.78532,0.52319,1.30831,1.01501,1.41085,0.0046144,0.0046144,0.0046144
138,4921.14,0.97978,0.68578,1.11801,0.72943,0.74806,0.76442,0.50779,1.33368,1.1692,1.41676,0.0045748,0.0045748,0.0045748
139,4955.99,0.95891,0.67561,1.11027,0.74383,0.71113,0.75546,0.5044,1.33619,1.2064,1.42262,0.0045352,0.0045352,0.0045352
140,4991.94,0.95761,0.67364,1.10902,0.76195,0.71786,0.78296,0.52471,1.30207,1.09296,1.37652,0.0044956,0.0044956,0.0044956
141,5027.48,0.95442,0.66799,1.10574,0.76333,0.72038,0.77728,0.51679,1.32969,1.16994,1.39917,0.004456,0.004456,0.004456
142,5062.75,0.95948,0.67718,1.11189,0.73249,0.72726,0.77132,0.50284,1.33936,1.13899,1.41341,0.0044164,0.0044164,0.0044164
143,5098.32,0.96674,0.684,1.1134,0.73059,0.74168,0.76514,0.51799,1.30645,1.1038,1.39116,0.0043768,0.0043768,0.0043768
144,5134.09,0.95681,0.67297,1.11555,0.75084,0.70609,0.76907,0.52138,1.29525,1.07951,1.40566,0.0043372,0.0043372,0.0043372
145,5169.87,0.94618,0.65982,1.10747,0.7142,0.76495,0.77355,0.52052,1.29574,1.09543,1.39707,0.0042976,0.0042976,0.0042976
146,5205.45,0.94436,0.66501,1.10613,0.74396,0.74194,0.78595,0.52957,1.30669,1.0828,1.39918,0.004258,0.004258,0.004258
147,5240.68,0.94589,0.66162,1.103,0.75616,0.74085,0.78566,0.52618,1.28653,1.06483,1.39191,0.0042184,0.0042184,0.0042184
148,5275.46,0.94279,0.66533,1.10426,0.73472,0.73924,0.77564,0.52495,1.27917,1.06365,1.38296,0.0041788,0.0041788,0.0041788
149,5311.02,0.92991,0.65357,1.09522,0.71193,0.75427,0.77435,0.52657,1.27755,1.06878,1.38372,0.0041392,0.0041392,0.0041392
150,5346.65,0.93928,0.64988,1.09714,0.74571,0.73592,0.77126,0.52375,1.30367,1.06482,1.39599,0.0040996,0.0040996,0.0040996
151,5382.07,0.92188,0.64987,1.0888,0.77315,0.71577,0.77794,0.52965,1.28544,1.07035,1.39519,0.00406,0.00406,0.00406
152,5417.23,0.93943,0.65333,1.09955,0.73934,0.73142,0.7728,0.52438,1.28425,1.06989,1.38974,0.0040204,0.0040204,0.0040204
153,5452.12,0.93473,0.65008,1.09434,0.75956,0.71949,0.77099,0.52767,1.29576,1.12774,1.3964,0.0039808,0.0039808,0.0039808
154,5487.79,0.92325,0.65009,1.09188,0.76139,0.73625,0.77555,0.53065,1.28772,1.1436,1.40791,0.0039412,0.0039412,0.0039412
155,5523.51,0.91046,0.6374,1.07901,0.74059,0.73829,0.77179,0.52061,1.2924,1.11187,1.41286,0.0039016,0.0039016,0.0039016
156,5558.6,0.92876,0.64465,1.09114,0.77324,0.70934,0.76824,0.51516,1.28499,1.07819,1.39098,0.003862,0.003862,0.003862
157,5594.58,0.91339,0.64341,1.08807,0.74792,0.73073,0.76491,0.52325,1.274,1.15011,1.38323,0.0038224,0.0038224,0.0038224
158,5630.73,0.92805,0.64168,1.09569,0.73278,0.74095,0.76925,0.52894,1.26675,1.13164,1.36578,0.0037828,0.0037828,0.0037828
159,5666.08,0.91549,0.64455,1.08835,0.71944,0.74572,0.76531,0.51659,1.29864,1.16396,1.38686,0.0037432,0.0037432,0.0037432
160,5701.38,0.92237,0.65364,1.09409,0.7364,0.73045,0.76556,0.52039,1.27489,1.10195,1.38194,0.0037036,0.0037036,0.0037036
161,5737.07,0.92112,0.64488,1.09197,0.73778,0.7446,0.77081,0.52113,1.26174,1.09648,1.3822,0.003664,0.003664,0.003664
162,5772.29,0.92182,0.64467,1.08753,0.73444,0.74607,0.77549,0.52853,1.25629,1.0839,1.37294,0.0036244,0.0036244,0.0036244
163,5808.68,0.91151,0.63371,1.08164,0.74317,0.71404,0.75591,0.5147,1.2783,1.17627,1.39705,0.0035848,0.0035848,0.0035848
164,5843.99,0.90469,0.63643,1.07922,0.72358,0.73706,0.76298,0.51226,1.27706,1.1162,1.3964,0.0035452,0.0035452,0.0035452
165,5879.53,0.89774,0.63413,1.08066,0.72528,0.73805,0.7562,0.51547,1.3084,1.12279,1.44321,0.0035056,0.0035056,0.0035056
166,5915.42,0.89467,0.63038,1.07647,0.75102,0.72874,0.7638,0.52163,1.31266,1.11503,1.43459,0.003466,0.003466,0.003466
167,5951.36,0.89541,0.63287,1.08364,0.75815,0.70934,0.76002,0.51717,1.30189,1.11493,1.40776,0.0034264,0.0034264,0.0034264
168,5987.69,0.89893,0.62188,1.0785,0.74037,0.72338,0.76291,0.52516,1.28811,1.1109,1.40706,0.0033868,0.0033868,0.0033868
169,6023.52,0.90247,0.62407,1.0811,0.75215,0.71397,0.77036,0.52711,1.28278,1.10673,1.41099,0.0033472,0.0033472,0.0033472
170,6059.17,0.89702,0.62793,1.07468,0.73106,0.74363,0.77191,0.52854,1.29806,1.11927,1.41524,0.0033076,0.0033076,0.0033076
171,6095.03,0.88402,0.60915,1.07012,0.75623,0.71713,0.76011,0.51792,1.28646,1.11998,1.4273,0.003268,0.003268,0.003268
172,6131.24,0.88543,0.61581,1.06941,0.75078,0.72981,0.76142,0.52271,1.25949,1.11099,1.40495,0.0032284,0.0032284,0.0032284
